100000 100000
1 47450 6042
1 68021 22648
3 31065 42460
3 94178 35181
3 67413 82589
1 76520 59221
3 38581 2328
3 47572 20825
1 38398 66113
2 59159 68645
3 57422 8068
3 66035 18116
1 66663 10283
2 18734 84194
1 59874 76180
2 68637 96685
1 91385 34177
1 9525 54640
1 80976 30573
2 75791 36555
3 66552 14298
3 35259 34322
3 11625 18917
3 7187 60123
3 56630 14960
1 49266 693
2 95971 15752
3 9299 43648
1 20525 5983
2 15842 70774
3 11886 49897
2 96165 50034
2 75753 4776
1 65520 34507
2 69307 28763
1 32111 3507
3 65109 44849
1 19021 32620
2 40551 87879
2 4548 7749
3 17756 90610
2 26589 59225
1 14795 28827
1 82070 15058
1 59616 79915
3 75677 41451
1 66831 44171
3 94166 90512
1 26970 46507
3 75917 74230
1 19147 93293
3 37160 53477
2 32179 15934
2 15674 867
3 81238 21292
3 42326 79927
1 16511 66021
2 31213 11094
1 33680 17092
1 8489 34392
1 52053 65726
2 31183 33655
3 27970 20006
3 64686 30208
3 57042 67619
2 51009 37461
2 42443 80233
2 93755 82803
3 49668 8695
2 20605 48213
3 47198 75156
1 7275 9456
1 51192 29165
3 98582 67148
2 29908 45267
1 78554 77784
2 73660 59899
3 64583 32906
1 26669 60268
2 4413 34572
1 79147 4382
1 63297 5069
1 99345 80655
1 81440 93518
3 1210 60000
1 65753 8646
3 9586 36994
3 21415 39307
3 32992 98732
1 94105 80441
2 75992 18002
3 36163 68841
2 71541 98470
3 28153 28763
2 58306 67728
2 79270 84952
1 39984 83577
2 78021 15103
3 15069 74220
3 47398 16258
1 36726 4092
1 66202 90524
1 39110 3545
1 88848 82450
1 98243 67616
1 99217 88354
2 85435 84562
2 477 10611
2 82745 69784
3 68477 55889
1 59883 57669
2 98566 87151
3 86904 23605
2 89135 51019
1 37014 23286
3 77696 27012
3 96989 203
1 77069 67961
3 44975 34410
3 34560 70553
1 98968 19256
2 41140 7475
1 8753 90487
2 57302 43462
1 84022 87675
2 21092 14243
3 97837 48914
2 61252 14589
2 41797 48181
1 20961 15478
3 79978 87440
3 20921 71563
3 3688 20360
1 86850 36882
3 65422 57010
3 85875 43560
1 47571 60459
3 33225 17579
2 62882 25392
1 46370 62011
3 87630 12227
3 5086 43389
2 51415 59585
1 81238 22155
3 21231 16846
3 34438 79905
2 54054 32850
1 20209 1546
1 20281 58230
1 43003 60776
1 39291 92110
1 20505 20845
1 93762 27008
1 24140 2183
3 95288 75062
1 9183 66198
3 77577 14293
2 86789 61396
1 56961 24158
3 49651 65984
2 22462 28087
2 60231 97771
1 12115 70141
1 48364 31426
3 28647 85408
1 11212 98547
2 82473 68477
2 45427 3998
3 15672 98213
3 30545 11927
1 67151 53575
3 59719 12104
1 24941 94864
3 31069 79140
3 73933 38271
1 18761 60504
3 24470 52651
1 32846 68275
2 8295 91266
1 83528 6031
2 83040 22749
3 15672 84623
2 78319 80380
2 79178 80869
2 49030 27825
2 97552 65077
3 90431 1414
2 42958 66443
3 89105 26158
2 22789 81257
2 96325 5957
1 57211 34026
2 22144 59697
2 76229 11532
1 34428 24859
1 24296 38103
1 28848 89750
2 87011 61600
2 71997 20348
2 81911 84063
3 95120 62664
2 27696 84028
1 42685 53841
2 22883 33824
1 22862 38061
3 14783 60349
1 24078 72614
2 62570 84143
1 16601 69201
3 55744 42113
1 1347 95244
1 75674 97726
2 20291 25726
2 42921 25012
1 87189 141
3 51088 47911
3 20251 19509
1 26204 41787
1 941 67105
1 14523 67579
1 88349 98160
2 35721 90993
1 73667 97370
2 80574 17816
2 70625 41066
3 8178 97081
3 76090 4629
1 6967 93110
1 32384 20726
2 4227 37938
3 38065 53420
1 61157 677
1 49642 96027
1 32395 21718
1 20936 6601
1 37204 79930
1 41512 85006
2 18453 13611
1 63789 28568
1 84596 21594
3 93368 84993
3 10335 86671
1 70146 86838
1 12646 40980
3 34318 50156
1 14068 37302
3 15751 66423
2 2003 33452
3 83082 90403
3 64481 16986
1 50269 23577
3 79221 63571
3 21724 67820
3 36415 83386
1 23383 28572
3 65273 49110
1 77576 14664
3 31418 55236
3 45311 84242
1 67446 90612
1 57477 81045
2 24012 66174
1 45590 70458
1 82832 87303
3 24642 3243
2 19284 93678
2 81374 83280
3 3560 95968
2 36128 82099
3 52453 34920
2 6149 86159
2 68748 48330
2 26077 11526
2 70156 33714
2 41156 32167
3 73155 6478
2 36965 70777
3 51216 93370
3 43053 10019
1 4976 77267
1 97546 77204
2 13762 22911
1 85734 27545
2 58195 11926
2 27355 12318
2 56269 72446
3 80799 3736
1 59613 72425
2 62126 14042
3 80899 9725
1 72338 996
2 89790 33233
1 8299 41966
2 86798 77247
3 50978 56898
2 79904 2244
2 60791 93208
3 49161 26027
3 10609 81683
3 71434 26891
3 99489 20356
2 81967 15168
3 66317 32837
2 40050 42183
1 27354 46328
1 1262 68201
3 12887 2786
1 84097 47064
1 36962 21813
2 70249 54205
1 9620 71399
1 44708 82882
1 23020 36549
3 41814 86108
2 57001 77769
3 75771 87805
2 78731 41718
1 52024 2544
1 93499 94831
3 24314 76591
3 15530 28243
3 65984 49883
2 31059 1678
3 88343 52231
1 2034 70233
2 19889 50104
2 87129 39410
2 75534 1399
3 33820 54932
2 22387 78025
3 79574 52242
2 10981 56672
1 91413 8691
1 46500 34108
3 79730 21723
1 93669 71550
1 85257 30273
1 53276 16646
3 30354 3667
2 96249 67002
1 15123 31051
1 63571 9154
2 13308 15493
1 38612 11443
2 52378 16330
3 43599 74904
1 74989 8886
3 3711 2849
3 1011 60318
3 94830 21911
3 84122 3860
3 87764 72250
1 74049 23295
3 49341 92044
1 70255 66842
2 58869 11767
1 81513 44414
3 80675 55118
1 83209 96289
3 2225 90548
2 33100 43742
1 88392 79779
1 87306 27076
3 85034 25611
3 62563 9302
2 1513 36354
2 39567 36929
2 12635 61978
3 47912 46710
1 44658 25144
1 25388 4421
3 81578 64258
1 88456 93552
3 89099 97043
3 89616 42894
2 13981 18159
2 28428 23101
3 55557 21191
1 74837 39099
3 63555 34483
2 13232 67030
1 16296 58905
1 6778 20125
3 47218 5126
2 82617 11210
2 38832 62825
3 20920 58416
2 25392 3434
2 44250 50230
1 65398 64971
3 97861 43767
3 50558 47078
2 10379 42591
1 99648 23183
3 5360 14598
1 10469 40465
3 96450 36637
2 67137 50829
3 348 53183
1 97394 47681
3 13053 37720
2 67525 65827
3 60340 71292
3 11339 13259
3 53743 53860
2 82318 38309
3 88190 58022
1 80652 46291
1 11076 32862
3 12537 48139
3 95341 62700
1 88581 502
3 58357 57996
3 21241 80367
1 10146 35359
3 87905 97359
3 60398 85751
3 43430 59061
1 72917 56869
1 40556 30544
3 58233 61146
1 29702 68714
2 48406 96231
2 18950 53009
2 32255 63545
3 89533 34109
3 30644 2402
2 40824 82738
3 33159 79711
1 38494 58400
2 19327 23881
2 27127 34500
3 79548 97237
1 18776 56827
1 66007 63263
1 75501 69899
3 29949 74122
1 33606 40928
1 36383 59720
2 52591 93727
2 65178 22593
3 10625 69025
2 48022 52219
2 9108 89717
3 98130 12066
1 45706 28219
2 18729 67042
3 97307 76149
3 12379 69460
3 66095 53198
3 15964 68022
1 95775 8749
3 89707 82842
3 85016 24557
2 24146 3042
1 43394 70958
1 56847 8428
1 8714 58580
1 39138 17877
3 64278 84720
2 85317 62410
3 55171 58438
1 53291 63691
3 74357 85710
3 55073 88598
2 31698 38559
3 76750 92617
2 49432 12913
3 96750 30239
1 66941 61912
1 32119 22672
3 11667 56196
1 46775 93387
3 46400 49142
1 39976 4907
1 45732 42362
2 90087 51904
1 48860 5022
3 68245 20879
3 52321 55368
3 85757 31636
2 75225 83308
2 26333 58861
3 68914 61937
3 57768 74917
1 81451 6019
2 58886 75536
1 20307 72625
3 52719 11886
3 17067 61270
1 1735 44535
3 37331 39250
3 97431 4777
2 73780 17700
3 76300 28196
2 39342 54891
1 364 65360
3 86844 27068
2 49855 11022
3 71027 35795
2 51350 84643
2 21385 68405
1 43002 61898
1 7054 75702
3 44728 86987
3 58672 37253
3 15535 84456
3 11955 1891
1 79220 23857
3 98729 50134
1 99668 68832
3 98034 54316
1 3702 62660
3 1522 5832
2 25740 88998
1 80602 23874
1 76292 22324
3 31456 66907
2 51049 77388
3 39266 64797
3 52192 53432
3 95277 6280
3 54329 2113
3 34842 51845
2 42430 58572
1 98372 56321
3 73294 38328
3 75013 68314
1 3798 89185
2 59414 37028
1 81352 8780
2 31502 97779
3 307 3030
1 74095 32245
1 52451 50540
3 59034 9819
3 60270 46746
2 36888 38733
1 2959 84713
1 65526 2169
3 26390 43379
2 61869 11065
3 35765 90108
1 70078 28407
1 57205 97241
3 28377 34504
1 95538 38231
3 61185 46533
3 8234 10137
3 45895 15595
3 32338 27565
1 97271 41728
1 44834 90364
2 23883 28976
2 78834 15538
1 31882 77026
2 63861 61447
1 86932 68235
2 45143 81751
3 62754 66811
3 75466 42025
3 91989 11487
2 32461 39522
2 55805 51901
1 17216 35358
1 24069 22194
2 35336 5980
1 77787 66779
3 76298 61245
3 81095 29861
3 87025 35569
2 79477 84852
3 2200 46085
2 22672 18132
2 30375 97449
3 91196 53441
1 21888 53676
2 87392 85763
1 9661 79173
3 41051 18574
3 3514 72264
2 42248 83452
3 45341 70860
2 50461 28565
2 59486 22810
3 99953 11729
3 77662 99159
3 20128 66572
1 20248 11218
1 48787 342
2 39066 75051
2 63318 47720
2 32620 65958
3 99451 98769
3 23354 55210
1 12864 52826
1 67485 72582
3 20606 29000
2 46576 49124
3 71426 65385
1 58086 9530
3 2343 45609
2 10238 49260
1 90418 6615
1 14738 70303
3 43961 28520
2 25698 86324
3 99420 44646
2 66181 91510
1 2956 73705
3 27880 44841
2 34172 87118
1 96852 15285
3 38629 56557
1 27313 32295
3 7327 52821
1 36253 88076
1 19540 80242
2 45391 152
1 79847 18879
2 23258 52049
2 26203 28931
1 22957 20531
2 60894 72578
1 35707 99758
3 3081 29441
1 72033 15105
3 19599 13444
3 91379 33773
3 87043 16704
2 2011 10874
2 8077 98084
1 29407 375
2 88348 56257
2 33868 92674
3 40045 99024
1 74961 1690
3 2875 74109
2 69231 15664
1 48734 53250
3 13469 47259
3 31480 46244
1 42144 38122
3 95485 67860
3 57701 19147
1 5148 96649
1 90086 41529
3 62019 83926
1 66406 99350
2 78165 78574
3 60127 14873
1 59934 79000
1 97115 71843
1 40458 46416
1 75782 59758
1 90851 99982
2 81352 27866
1 56872 67772
2 93474 47261
1 88618 34452
3 29254 92428
3 15033 78149
2 16572 85893
1 51358 96076
2 31077 4407
3 78531 22262
1 17348 2771
2 91005 77612
3 79200 76238
1 45974 13916
1 97265 9148
1 22018 1670
2 63210 6644
1 71221 63218
3 5871 80148
2 4510 36980
1 44160 22507
2 77880 82903
2 6827 35951
3 71760 32773
3 20286 73392
1 80650 9750
3 65367 46138
3 20184 63906
1 63478 92798
3 45594 24529
2 50499 37284
1 53831 92662
3 29791 35455
2 56027 37933
3 67379 16839
2 79494 2308
3 79395 31232
3 15325 1352
2 49481 50263
3 19604 7053
1 16132 73737
3 77187 91631
2 35276 1171
1 36083 48362
2 46596 38841
3 75925 17758
2 86629 51716
1 25504 51606
1 53802 33320
2 98807 48325
3 41725 37968
1 99843 88107
2 17887 65920
1 6622 86840
3 72793 32387
2 48445 81619
3 41049 26861
2 7640 99890
2 88238 71382
3 64247 4003
1 79487 62004
3 63379 58832
1 97830 35883
3 44187 11575
2 83436 69797
2 17527 40427
1 26943 27231
1 51616 18889
2 40964 60650
1 90092 41225
1 8833 34503
1 47345 44614
1 64664 15373
2 63202 42190
3 2894 57785
2 28515 35888
3 86814 3911
3 17581 59648
3 95872 99296
2 71840 76515
3 59659 35730
1 67263 38402
3 42865 33720
3 94899 22485
2 77014 85196
3 36832 50721
2 92532 72333
1 7722 27575
1 24242 37398
1 76265 80965
3 97766 39780
2 20004 58443
2 51360 13969
2 33136 33918
1 17643 28504
3 94406 79975
3 4386 63597
2 90276 90312
2 8414 12536
1 66719 62796
2 91271 64672
3 29346 79690
1 78567 16939
1 26524 17668
3 28795 34302
3 7967 48852
2 92060 84120
2 43866 44649
1 29924 77630
3 90492 6680
1 63023 65181
1 99577 39939
1 39005 15643
3 75786 60566
1 86861 5878
2 71626 73175
3 48282 56046
3 65180 75132
3 28378 267
2 30724 56747
1 38438 68625
2 79490 82686
3 96810 13660
1 73086 51189
1 25311 53803
3 16244 73472
3 69481 46523
3 66517 59864
3 33579 95105
3 66151 96671
2 30129 17706
2 18230 90222
3 12574 76745
3 85363 76563
1 70646 18973
2 35861 95533
2 56400 31461
2 67303 35819
2 70109 45688
2 49620 77327
2 17103 86818
2 81261 67829
3 80759 847
3 36696 35091
1 99166 60202
1 2608 95518
3 41978 28094
1 94142 49384
3 30367 14759
2 7649 59003
3 60262 88329
1 6639 97813
3 86789 1811
1 86804 7084
2 78156 11510
2 33147 54352
3 27319 48847
1 75346 44015
2 10033 73277
1 14673 20256
2 71522 8846
1 89105 80225
1 97566 80401
2 41256 12623
3 43486 7616
1 80971 48602
1 76104 6438
1 74173 74058
1 40432 6339
3 73265 83794
2 50513 33745
3 46092 33756
3 36808 85818
2 49395 80744
1 361 69909
1 85941 72985
2 29509 496
1 18901 39137
1 85456 52830
3 93592 45683
1 6147 28198
2 44250 97272
1 43066 20360
3 77524 91362
2 753 1517
2 41008 421
1 40498 11088
1 36596 93745
3 2869 82449
2 17284 9483
2 14949 68565
2 27954 96427
2 87264 57362
3 4435 99909
3 93084 27269
1 71677 49920
1 96764 92097
1 83523 79011
3 981 29290
2 64800 72158
1 2900 6299
1 95789 87083
3 87516 93877
2 74246 16229
3 91185 36910
2 40761 19290
1 8632 81283
1 90156 2817
3 49762 13525
1 61646 49214
3 5638 18886
2 46930 69232
2 78590 15903
1 23628 43580
3 77554 69233
3 66807 20438
1 23318 49490
2 94625 42449
3 47449 20629
1 41744 15911
2 82029 23112
1 22258 35536
2 43596 24422
1 74556 81072
2 10698 704
2 76704 31855
3 65264 12684
1 90511 73680
3 22105 99501
3 52403 59025
3 34184 29499
1 47700 52139
2 21140 71678
2 43011 24159
3 14493 67319
1 67516 5736
1 72999 72338
3 56009 69399
2 45670 78421
3 5126 26293
1 80165 13853
3 41550 53852
2 50967 5493
2 36144 82313
1 9934 90131
3 79251 66109
3 68517 8578
3 57614 80971
2 22861 63681
3 2060 13184
3 65927 69580
2 65173 87541
1 95804 1160
3 70141 88280
1 90122 79406
2 2995 19132
3 42864 85937
3 30359 64577
1 43344 88587
2 21088 10872
2 49307 48413
1 22219 49526
1 31185 60836
2 58111 10939
3 88863 91115
2 85587 14717
2 51966 18175
3 29318 60013
1 6827 56417
3 89024 82919
1 50109 85972
2 53955 57013
2 59924 26743
1 36475 43261
3 9076 27359
3 91346 2868
1 11696 74702
1 17623 39341
1 7861 97380
1 79432 18083
1 90054 15860
3 91408 30419
1 12619 83599
1 96154 64634
1 2745 86766
1 50536 51355
3 36152 96080
2 56764 64850
2 73756 33671
2 43770 8823
1 39504 93729
1 13040 15157
3 70636 27979
2 69793 72948
3 90152 38861
1 79767 23872
2 80420 9253
1 23683 76937
3 15506 67678
2 36569 85535
2 48958 17780
3 15304 40328
1 18318 40574
3 99026 38583
1 2719 99279
1 87826 27957
2 73040 93453
1 67050 92315
1 46999 2587
1 26388 58721
3 44345 91568
2 77660 91864
2 86183 71414
3 29211 58222
3 85156 19666
2 9975 3063
1 2844 45047
1 96774 40815
3 33007 60751
2 87175 46004
3 67642 49883
2 43111 84096
1 35545 60436
2 81526 15591
2 20385 89982
1 65190 59534
3 30677 34509
1 232 29379
2 88818 87118
1 57311 65734
3 94261 88673
3 22782 55694
1 30881 89931
2 83889 9044
2 20111 53463
2 19147 3029
1 97579 43084
1 54907 79156
1 53146 52402
3 45549 7954
3 83668 36782
1 70843 55081
2 23932 22008
2 5753 43186
1 39971 91828
1 30544 19152
1 57141 93512
2 4063 57005
1 59869 48222
3 43564 23476
2 8979 36978
2 85510 82734
3 68086 39911
2 2683 14970
1 73981 42636
1 91252 36945
1 98026 98004
1 19519 20673
1 9934 95000
2 14231 24255
2 5597 35422
1 25623 50304
2 6192 96227
1 24015 95130
2 22972 50668
1 59828 92474
3 4642 63221
1 20581 70073
2 18275 47265
1 67322 30595
2 239 83695
3 5104 84508
1 93971 19124
1 59214 98548
1 22047 84786
2 79917 19797
3 59721 70180
1 28683 45366
2 45161 48204
2 92220 41103
1 13412 58360
1 63469 58951
1 74029 82848
1 21906 16333
2 67609 10379
1 14744 47855
2 70179 81336
1 89051 34968
3 66332 53430
2 46800 70733
3 29205 33887
3 85363 52866
3 56718 90821
3 21593 92542
1 18145 88199
2 37003 23361
2 42322 84941
2 39689 81118
1 16272 28902
1 27486 49723
1 16537 57699
1 89532 82369
2 13356 13528
3 76238 9778
1 94360 49965
3 86257 17074
2 70543 50221
2 89236 15866
1 34686 54758
2 54444 76957
2 3064 40410
1 76555 72150
2 67703 80804
2 22190 74581
3 7098 78396
1 92725 16059
1 26049 39577
3 10024 34458
2 42920 11778
1 68263 16803
3 34385 6586
3 5248 28890
1 78013 69097
2 29389 29107
2 66703 42523
3 43159 54221
1 93188 69456
2 42617 79079
2 44474 63582
3 33972 48073
3 63952 71968
3 80494 53657
3 6077 56720
2 8679 60714
2 88971 59278
2 5655 59051
3 30607 41066
1 4369 6738
1 87606 40777
3 2980 96099
1 66154 51208
3 64548 53286
2 10469 98189
2 76469 51575
2 27659 26313
2 54758 11770
1 41513 42297
1 46330 85702
1 12302 46215
2 2184 57044
1 12392 42128
1 97899 19527
2 80154 25137
2 48005 15043
3 78667 59874
2 79486 80224
1 46536 59299
3 38309 79845
1 34989 60541
2 34363 43900
1 76916 80724
3 72188 57294
2 73914 56261
3 85237 18136
1 71495 57701
1 94558 26686
3 74066 34463
1 78687 87154
3 25300 24996
1 12553 97047
3 12962 96952
1 37001 78600
3 77242 79489
2 4583 62278
2 647 6728
1 1119 81070
1 3613 7123
3 36860 96338
3 42291 17646
1 33811 92830
1 46133 64502
3 1536 29746
1 55482 7988
1 73462 7596
1 70164 4503
3 5335 45891
3 70453 53056
3 85076 14710
1 57839 41925
1 25001 12715
1 94981 78296
2 88637 16653
3 71768 72966
2 95830 41596
2 28260 21398
3 40615 23835
2 56344 34854
1 47107 77969
3 78303 11074
1 56302 75452
3 94382 57861
1 88212 15505
1 79794 15758
2 50608 23140
2 75627 68408
1 9009 81339
3 4393 27081
3 94020 645
1 79831 14958
3 67169 1472
2 70240 6833
1 46618 8147
3 74319 40045
2 64617 44764
2 98239 77952
1 25428 87948
3 95149 99291
1 14925 79104
2 87432 68613
2 46404 73143
2 5424 22428
1 12696 52274
1 98090 31418
1 61637 15610
3 79284 2826
2 76197 75730
3 68580 85767
3 10669 36376
3 53601 46298
2 87130 75827
2 53344 41487
3 380 68478
2 16713 32381
1 26588 66763
3 13411 20565
2 87506 96627
2 77550 91551
2 68998 28564
3 37375 10835
1 49531 98902
1 24977 6523
2 97665 3859
2 26770 1989
3 17660 22130
2 59068 32214
3 53054 60996
3 56221 76679
1 62827 15581
1 65827 71660
3 70720 54660
1 9396 74437
1 33360 4363
3 27082 37398
2 54011 57823
3 36372 53541
2 42743 31354
2 85099 22656
1 32547 87215
1 39182 40327
2 90922 53549
2 98208 57225
3 2517 40770
2 98078 65853
3 14413 21589
3 28785 88910
1 37538 19020
2 34708 94686
1 17999 69851
3 96054 60921
3 34762 43787
2 26294 23547
3 67996 52763
2 74161 88901
1 89857 37865
3 37457 16818
2 9565 4848
3 94481 25071
2 69203 68563
1 43888 73352
1 23021 28051
2 60658 49170
1 59904 58217
3 76407 34730
3 99274 29548
1 70380 21873
1 80816 86317
2 29723 96400
3 27592 17365
3 1576 46838
1 35029 99959
2 67275 33878
3 4502 74201
1 10720 37995
1 25736 44999
2 78415 97761
3 87683 51267
3 95967 46472
2 50874 34766
1 88062 83757
1 47900 34348
2 97960 56693
3 65946 71601
2 67354 67492
2 62174 54172
3 63535 12728
3 82952 61215
1 23449 52185
3 73149 62574
3 41126 93723
1 46911 73067
3 22550 98844
2 60473 14453
1 54732 50753
2 90367 96198
2 14052 20873
3 95592 6262
2 79112 77823
3 1801 74345
3 64314 76770
3 6988 12196
3 22944 26123
2 66370 75580
2 91540 97075
2 84024 75223
3 43681 63967
1 83641 23627
1 92382 91447
2 326 64832
2 12377 38640
2 13846 25808
1 55506 21617
1 49215 97033
1 31828 74598
1 29334 38305
2 95186 86449
3 82624 91503
1 82705 97793
3 97887 21013
2 86549 56833
3 39651 73799
3 44326 65802
1 89642 25198
2 3964 31340
1 34563 35547
1 25391 99532
3 26016 40537
2 80907 58321
1 81433 1606
2 94466 69248
2 9663 77476
3 37477 87132
3 17022 28062
3 25095 76107
2 29975 93063
3 58066 4819
1 92610 25422
3 69632 24151
3 97079 25707
1 80132 37051
1 88921 16116
2 25861 94546
1 56394 71788
1 20746 90659
3 98972 83262
2 68705 53756
3 91736 54382
2 61196 10883
3 7018 28842
2 83024 7569
2 78832 2060
2 18724 67069
3 65044 55078
1 95065 25838
3 77428 24225
3 83216 41343
1 66026 22355
2 84771 49445
3 49373 48810
3 27506 92509
2 8905 93485
1 88980 32471
1 31114 96680
3 39854 87494
3 95409 11758
2 16426 71728
2 58060 52336
2 75396 40158
2 79495 32647
2 84945 85026
3 50874 91705
1 60364 48845
1 72044 29199
2 42625 38079
2 62626 28349
3 1127 25915
2 28472 57630
1 51226 59148
1 75610 3825
2 70414 10407
3 42795 59101
1 16422 6379
1 947 94428
2 60176 2413
1 61362 32876
2 94853 77849
3 82881 32997
2 55443 87635
2 35696 48944
1 5088 664
1 54127 38532
3 63420 71898
2 27108 15070
1 68855 96597
3 86869 35940
2 19721 57810
2 20697 73999
3 16765 39893
2 35725 40527
3 82385 54300
3 72676 55441
3 48724 7654
2 28045 65752
2 19070 79671
2 36869 98510
3 43416 14729
1 1413 76551
3 95988 84127
3 45050 9906
3 60276 74754
1 86258 22145
3 12383 87339
3 222 72134
3 96057 16689
1 856 26862
3 95805 26127
3 26546 2654
2 577 75861
3 42975 82816
3 7899 52162
1 52730 37062
3 55180 52009
3 79192 49609
1 46353 85901
2 64688 92389
3 75539 27629
3 58831 30925
1 3410 60816
3 88107 44110
2 36085 84201
1 81018 1982
3 25497 57994
3 67283 86680
1 95350 94302
3 13809 69639
2 50068 19793
3 24757 42580
1 16731 13176
3 57947 31208
1 73973 52103
3 56857 54226
1 62850 67516
2 68355 61497
3 11198 47053
3 85920 99124
3 72529 87205
2 12444 73788
3 82497 99911
2 789 27022
2 27102 28248
1 81113 73782
3 93490 51425
1 68722 63693
2 1555 38225
2 62274 97498
1 19038 47194
2 90920 35529
1 69776 54839
1 71128 33387
3 637 89860
3 62592 77928
1 53703 69352
1 2262 35987
2 20908 4626
2 5915 41102
2 56255 92745
3 36434 68432
2 42373 82731
3 60278 52103
3 64765 45391
1 38211 33057
3 31059 36394
3 94270 82883
3 12956 99778
1 10838 92762
3 41210 27533
1 13124 64695
3 82975 97028
1 6924 99559
3 77996 78891
1 9117 98166
1 12830 30099
2 15374 24698
1 57919 27541
3 95821 67014
1 72240 99052
3 41966 33098
1 6648 5803
1 28005 39455
3 18501 37291
2 84028 23964
2 12826 97261
3 82051 70371
2 41532 11532
3 26511 96758
2 48852 3967
1 39824 91061
2 72742 19607
1 26901 19452
2 17962 31186
1 37597 42492
2 70934 9856
1 68411 41991
3 35271 23935
2 61248 98644
1 6661 80622
2 82236 13670
2 45546 76656
3 77686 86332
3 54359 20580
1 68609 71537
3 93788 12745
3 20091 17455
3 120 22661
1 23384 64825
3 8221 41824
3 99421 88715
1 52574 65090
2 6782 21557
1 27715 65324
3 47349 66304
2 32772 27300
2 5020 20956
3 5009 37274
1 96320 36006
3 72157 60466
2 25173 93848
1 89565 33108
1 27816 75562
2 74904 28583
1 88179 7634
1 15998 9743
1 62078 98238
3 86387 12649
2 83892 70154
3 25118 97949
1 42686 47708
3 7952 81729
1 14605 66902
3 14231 21052
1 46957 10962
2 11607 76087
3 39206 78681
3 15462 38552
2 7407 78638
2 69392 23442
3 2921 10982
3 39279 40436
1 82495 37337
1 76191 44498
2 61781 93299
1 57619 19753
1 99084 23685
2 48653 8295
1 32209 83140
1 27330 66322
1 44987 45253
1 15467 6344
3 85728 60474
1 39414 36668
3 92955 93053
3 47658 54706
2 314 49249
2 84710 16272
2 14438 38842
2 96677 70039
3 29985 22007
1 91332 72751
1 1391 62024
1 75997 95606
1 6723 51005
2 67263 88462
3 40204 34097
1 74555 88093
1 74040 16099
1 52985 75457
3 14355 52991
3 51653 20931
2 61177 10028
1 83938 49630
1 59645 62903
2 72140 65127
3 76533 23423
1 3422 39193
2 28380 63112
3 49938 88799
1 45458 34578
1 76290 39276
2 68380 37993
3 59986 36529
2 15060 24059
3 53663 55753
3 22517 30980
3 43788 99449
1 28664 75810
3 56917 30919
1 10808 74394
3 79328 98143
2 52945 16685
2 54560 42890
3 63997 52150
2 7738 80491
3 35583 6029
2 9979 64984
3 82447 67432
3 57871 59611
1 77698 18186
3 11224 48248
2 67960 66231
2 70278 56971
3 70371 21553
2 41561 52327
3 40104 78306
1 81441 53211
2 1821 5014
3 36356 65037
3 34408 9781
3 60280 50684
1 79128 60889
3 27761 36753
1 50018 70677
2 30361 76468
2 66024 77677
2 27374 92319
2 37202 17367
3 17627 99630
2 50790 57951
3 41043 78621
2 16863 60034
2 48370 76381
2 77651 27076
2 75427 94927
1 14315 62702
1 26134 30071
1 37860 78875
1 82726 67470
1 77037 37405
3 64808 28315
2 98538 93128
3 11922 62947
1 31289 56911
2 10163 50727
2 14090 27019
1 93525 67307
1 11033 63551
3 50185 31414
2 83923 80222
2 60400 16565
1 81695 72544
1 29026 15047
1 72816 69112
3 92178 14705
3 45181 87490
2 35401 85534
2 29499 31184
3 49774 29715
3 91533 53881
1 71892 24094
2 12595 67383
1 41213 69002
2 6612 88336
3 39003 75356
3 65927 96872
3 55628 48293
3 55632 11077
2 37156 75720
1 44019 22927
3 26093 37272
3 41825 39634
2 69751 66898
1 44031 29772
1 17709 23495
1 92272 14093
2 64132 35765
3 51926 93100
3 15396 93526
2 10145 63859
1 11064 48903
3 72638 86175
1 95696 48862
3 33740 32873
3 24456 59642
2 6152 62655
3 39889 86601
1 34245 17725
1 74646 73653
2 79840 49061
2 75857 44418
2 19746 9581
1 62639 97336
2 84065 76359
1 79068 47652
2 69656 47975
1 38072 86643
1 17775 6362
1 94969 1323
2 75649 24716
3 51352 22488
3 45425 6995
2 12340 14539
2 36234 57991
2 99317 34346
1 10558 74999
1 87885 13647
3 72396 44520
2 1714 122
1 94075 12572
1 27632 33728
2 4318 89850
2 38852 43971
2 49370 38287
1 71472 52239
3 1010 30018
1 21283 37558
2 89376 36109
1 19550 65484
1 93887 46078
1 50766 93113
1 3641 37435
2 93002 94992
3 87599 43459
2 39461 58111
1 90765 60066
2 69401 7821
2 53947 60094
2 1092 40749
3 37309 94792
3 5845 26965
1 94440 24868
1 80152 65776
3 59884 76769
3 11578 99751
2 13218 60902
2 61901 2281
1 25493 34103
1 73248 83285
2 41629 75681
2 57395 37348
3 46513 90390
3 80823 54511
2 53688 64609
3 44129 76847
2 24961 89598
1 96258 43981
3 61645 76162
3 23664 36019
2 55867 44771
2 74377 34304
3 93792 97024
2 8218 69690
1 59133 37624
3 79937 53292
2 12447 50442
1 38361 60045
1 23435 86031
1 75041 20914
1 43605 78985
3 81783 92141
2 58070 5298
2 14715 89505
3 23844 59979
1 4817 34913
3 70026 72820
2 96270 94739
1 11547 78320
3 63029 20887
2 2543 90060
2 28371 30066
2 44871 36416
1 61618 15577
2 21109 53279
3 95045 49373
3 43182 51969
3 97098 41209
2 93333 20592
2 38763 54797
1 57121 78604
2 28573 8578
1 53148 96957
